time_slot,qubits_active,eprs_active,qubits_created,qubits_used,eprs_created,eprs_used,rules_active
0,60,85,60,0,85,0,60
1,60,85,60,0,85,0,60
2,60,85,60,0,85,0,60
3,60,80,60,0,90,10,61
4,50,84,60,10,95,10,61
5,50,84,60,10,95,10,61
6,50,81,60,10,95,10,61
7,50,67,60,10,107,34,62
8,40,64,60,16,115,44,62
9,34,60,60,20,118,46,62
10,77,147,120,20,233,46,62
11,68,131,120,20,233,46,62
12,64,122,120,20,233,46,63
13,62,118,120,20,233,46,63
14,61,116,120,20,233,46,63
15,60,109,120,20,238,56,64
16,60,108,120,20,238,56,64
17,60,108,120,20,238,56,64
18,60,103,120,20,242,64,65
19,60,101,120,20,242,64,65
20,90,177,180,20,367,64,65
21,75,150,180,20,367,64,66
22,67,138,180,20,367,64,66
23,63,131,180,20,367,64,66
24,61,112,180,20,382,94,67
25,45,112,180,30,389,98,67
26,45,109,180,30,389,98,67
27,45,108,180,30,389,98,67
28,45,103,180,30,392,104,68
29,45,102,180,30,392,104,68
30,82,203,240,30,542,104,68
31,71,173,240,30,547,114,69
32,65,162,240,30,547,114,69
33,62,154,240,30,547,114,69
34,61,145,240,30,551,122,70
35,60,143,240,30,551,122,70
36,60,142,240,30,551,122,70
37,60,141,240,30,551,122,71
38,42,144,240,44,562,130,71
39,42,138,240,44,562,130,71
40,81,237,300,44,727,130,71
41,71,195,300,44,733,142,72
42,66,178,300,44,733,142,72
43,63,169,300,44,733,142,72
44,61,163,300,44,733,142,73
45,60,161,300,44,733,142,73
46,60,160,300,44,733,142,73
47,60,158,300,44,733,142,74
48,60,158,300,44,733,142,74
49,60,158,300,44,733,142,74
50,90,251,360,44,903,142,46
51,75,211,360,44,903,142,32
52,67,191,360,44,903,142,25
53,63,174,360,44,908,152,22
54,61,169,360,44,908,152,21
55,60,167,360,44,908,152,21
56,60,165,360,44,908,152,22
57,60,164,360,44,908,152,22
58,60,164,360,44,908,152,22
59,60,158,360,44,913,162,23
60,90,261,420,44,1093,162,23
61,75,223,420,44,1093,162,23
62,68,198,420,44,1096,168,24
63,64,188,420,44,1096,168,24
64,62,183,420,44,1096,168,24
65,61,179,420,44,1096,168,25
66,60,178,420,44,1096,168,25
67,60,177,420,44,1096,168,25
68,60,171,420,44,1101,178,26
69,60,169,420,44,1101,178,26
70,90,276,480,44,1291,178,26
71,75,226,480,44,1297,190,27
72,68,206,480,44,1297,190,27
73,64,196,480,44,1297,190,27
74,62,188,480,44,1299,194,28
75,61,186,480,44,1299,194,27
76,60,185,480,44,1299,194,26
77,60,182,480,44,1300,196,26
78,60,182,480,44,1300,196,25
79,60,182,480,44,1300,196,25
80,90,295,540,44,1508,202,25
81,75,250,540,44,1508,202,25
82,68,227,540,44,1508,202,24
83,64,215,540,44,1508,202,24
84,62,210,540,44,1508,202,24
85,61,207,540,44,1508,202,24
86,60,205,540,44,1508,202,25
87,60,204,540,44,1508,202,25
88,60,204,540,44,1508,202,25
89,60,203,540,44,1508,202,25
90,90,312,600,44,1718,202,25
91,75,261,600,44,1718,202,24
92,67,234,600,44,1718,202,25
93,63,221,600,44,1718,202,25
94,61,215,600,44,1718,202,24
95,60,211,600,44,1718,202,25
96,60,209,600,44,1718,202,25
97,60,208,600,44,1718,202,24
98,60,207,600,44,1718,202,25
99,60,207,600,44,1718,202,25
100,90,314,660,44,1928,202,24
101,75,256,660,44,1933,212,25
102,68,232,660,44,1933,212,25
103,64,220,660,44,1933,212,25
104,62,212,660,44,1934,214,25
105,61,209,660,44,1934,214,25
106,60,207,660,44,1934,214,25
107,60,206,660,44,1934,214,25
108,60,206,660,44,1934,214,25
109,60,205,660,44,1934,214,25
110,90,323,720,44,2154,214,25
111,75,272,720,44,2154,214,25
112,68,246,720,44,2154,214,25
113,64,233,720,44,2154,214,25
114,62,227,720,44,2154,214,25
115,61,224,720,44,2154,214,25
116,60,221,720,44,2154,214,26
117,60,220,720,44,2154,214,25
118,60,219,720,44,2154,214,25
119,60,215,720,44,2157,220,26
120,90,332,780,44,2382,220,25
121,75,278,780,44,2382,220,25
122,68,250,780,44,2382,220,26
123,64,237,780,44,2382,220,25
124,62,231,780,44,2382,220,25
125,61,227,780,44,2382,220,26
126,60,225,780,44,2382,220,25
127,60,224,780,44,2382,220,25
128,60,223,780,44,2382,220,26
129,60,223,780,44,2382,220,25
130,90,337,840,44,2607,220,25
131,75,280,840,44,2607,220,26
132,67,253,840,44,2607,220,25
133,63,239,840,44,2607,220,25
134,61,226,840,44,2612,230,26
135,60,222,840,44,2612,230,25
136,60,220,840,44,2612,230,25
137,60,218,840,44,2612,230,26
138,60,218,840,44,2612,230,25
139,60,218,840,44,2612,230,25
140,90,340,900,44,2842,230,26
141,75,284,900,44,2842,230,25
142,68,257,900,44,2842,230,25
143,64,244,900,44,2842,230,25
