time_slot,qubits_active,eprs_active,qubits_created,qubits_used,eprs_created,eprs_used,rules_active
0,40,87,60,14,97,10,144
1,35,86,60,14,97,10,144
2,12,81,60,28,116,34,144
3,7,76,60,28,121,44,144
4,5,73,60,28,123,48,144
5,5,72,60,28,123,48,144
6,5,72,60,28,123,48,144
7,5,71,60,28,123,48,144
8,5,64,60,28,125,52,144
9,5,61,60,28,125,52,144
10,47,145,120,38,253,68,144
11,38,131,120,42,258,74,144
12,22,123,120,52,268,84,144
13,14,109,120,52,276,100,144
14,14,106,120,52,276,100,144
15,11,102,120,52,279,106,144
16,11,101,120,52,279,106,144
17,11,101,120,52,279,106,144
18,11,97,120,52,279,106,144
19,11,94,120,52,279,106,144
20,44,196,180,66,432,118,144
21,22,166,180,76,449,142,144
22,21,151,180,76,449,142,144
23,20,144,180,76,449,142,144
24,18,140,180,78,450,142,144
25,18,139,180,78,450,142,144
26,8,134,180,82,457,152,144
27,6,130,180,82,458,154,144
28,3,129,180,84,460,156,144
29,3,124,180,84,460,156,144
30,41,234,240,98,645,172,144
31,40,203,240,98,645,172,144
32,40,188,240,98,645,172,144
33,38,179,240,98,645,172,144
34,38,175,240,98,645,172,144
35,13,159,240,112,673,214,144
36,8,148,240,112,678,224,144
37,8,147,240,112,678,224,144
38,8,147,240,112,678,224,144
39,8,147,240,112,678,224,144
40,64,248,300,112,848,224,144
41,54,215,300,120,852,224,144
42,53,196,300,120,852,224,144
43,37,183,300,130,864,238,144
44,27,173,300,134,871,248,144
45,17,172,300,138,873,248,144
46,11,168,300,140,874,248,144
47,11,164,300,140,874,248,144
48,11,162,300,140,874,248,144
49,11,158,300,140,875,250,144
50,47,257,360,154,1056,258,81
51,44,219,360,154,1056,258,47
52,43,198,360,154,1056,258,33
53,36,187,360,156,1057,258,28
54,36,181,360,156,1057,258,26
55,31,174,360,156,1062,268,26
56,31,172,360,156,1062,268,26
57,31,170,360,156,1062,268,26
58,31,170,360,156,1062,268,26
59,31,170,360,156,1062,268,26
60,76,258,420,156,1232,268,26
61,68,214,420,156,1232,268,26
62,64,191,420,156,1232,268,26
63,42,180,420,170,1246,282,26
64,33,174,420,176,1252,288,26
65,32,172,420,176,1252,288,26
66,32,167,420,176,1252,288,26
67,32,163,420,176,1252,288,26
68,32,161,420,176,1252,288,26
69,15,162,420,190,1265,300,26
70,68,254,480,190,1435,300,26
71,64,213,480,190,1435,300,26
72,62,192,480,190,1435,300,26
73,61,181,480,190,1435,300,26
74,45,173,480,200,1447,314,26
75,45,169,480,200,1447,314,22
76,45,165,480,200,1447,314,17
77,45,164,480,200,1447,314,12
78,45,163,480,200,1447,314,9
79,45,162,480,200,1447,314,8
80,83,253,540,200,1617,314,7
81,72,212,540,200,1617,314,7
82,66,190,540,200,1617,314,7
83,63,180,540,200,1617,314,7
84,61,174,540,200,1617,314,7
85,60,172,540,200,1617,314,7
86,60,170,540,200,1617,314,7
87,60,168,540,200,1617,314,7
88,60,168,540,200,1617,314,7
89,60,167,540,200,1617,314,7
90,90,254,600,200,1787,314,7
91,75,212,600,200,1787,314,7
92,67,191,600,200,1787,314,7
93,63,180,600,200,1787,314,7
94,61,175,600,200,1787,314,7
95,60,171,600,200,1787,314,7
96,60,170,600,200,1787,314,7
97,60,168,600,200,1787,314,7
98,60,167,600,200,1787,314,7
99,60,166,600,200,1787,314,7
