id,start_time,end_time,latency,num_rules
RFBF800:1-10:0.77:5,0,3,3,61
RB7EB70:4-5:0.62:6,3,4,1,61
R3670B0:11-0:0.77:4,4,7,3,62
R365A90:10-4:0.78:6,7,8,1,62
R3664B0:8-10:0.8:2,8,9,1,62
R3741A0:0-1:0.99:1,9,12,3,63
R3745F0:9-6:0.73:8,12,15,3,64
R374B60:11-1:0.53:7,15,18,3,65
R3740B0:1-9:0.75:9,18,21,3,66
R376270:8-3:0.51:5,21,24,3,67
R375DF0:0-2:0.81:10,24,25,1,67
RED75C0:2-10:0.89:3,25,28,3,68
R374BF0:8-6:0.76:5,28,31,3,69
RFD4950:3-9:0.84:4,31,34,3,70
RFD4980:8-9:0.93:2,34,37,3,71
RFD49B0:3-10:0.79:4,37,38,1,71
RFD4AA0:10-1:0.8:8,38,41,3,72
RFD49E0:8-3:0.94:3,41,44,3,73
RFD4A10:5-6:0.56:4,44,47,3,74
RFD4A40:0-2:0.94:1,47,50,3,46
RFD4A70:2-9:0.86:6,50,53,3,22
RFD4D40:8-3:0.75:5,53,56,3,22
RFD4CE0:5-2:0.86:8,56,59,3,23
RFD4C20:1-4:0.52:3,59,62,3,24
RFD4EC0:6-10:0.89:1,62,65,3,25
RFD4C80:9-7:0.56:7,65,68,3,26
RFD4D70:2-11:0.78:6,68,71,3,27
RFD4DA0:6-1:0.66:2,71,74,3,28
RFD4DD0:11-6:0.77:1,74,77,3,26
RFD4E00:9-4:0.57:3,77,80,3,25
RFD4BF0:1-10:0.6:8,80,83,3,24
RFD4E30:10-5:0.93:4,83,86,3,25
RFD4C50:10-6:0.5:3,86,89,3,25
RFD4E90:10-11:0.61:2,89,92,3,25
RFD4EF0:8-6:0.54:2,92,95,3,25
RFD4F20:8-3:0.67:9,95,98,3,25
RFD4F50:10-4:0.82:5,98,101,3,25
RFD4F80:8-0:0.54:3,101,104,3,25
RFD4FB0:4-11:0.97:9,104,107,3,25
RFD4FE0:4-1:0.58:3,107,110,3,25
RFD5010:7-1:0.96:4,110,113,3,25
RFD5040:8-9:0.89:4,113,116,3,26
RFD5070:5-0:0.53:3,116,119,3,26
RFD50A0:6-3:0.84:7,119,122,3,26
RFD50D0:2-0:0.71:5,122,125,3,26
RFD5100:2-11:0.89:5,125,128,3,26
RFD5130:5-9:0.85:6,128,131,3,26
RFD5160:5-3:0.59:6,131,134,3,26
RFD5190:4-9:0.97:9,134,137,3,26
RFD51C0:11-2:0.81:1,137,140,3,26
RFD51F0:1-10:0.62:4,140,141,1,25
RFD5220:7-8:0.6:9,141,144,3,25
RFD5250:10-5:0.65:5,144,147,3,25
RFD5280:6-10:0.83:6,147,150,3,25
RFD52B0:1-11:0.69:1,150,153,3,25
RFD52E0:10-4:0.79:6,153,156,3,25
RFD5310:6-1:0.54:9,156,159,3,26
RFD5340:5-3:0.82:5,159,162,3,26
RFD5370:9-7:0.85:8,162,165,3,26
RFD53A0:3-10:0.95:2,165,168,3,26
RFD53D0:7-3:0.6:10,168,171,3,26
RFD5400:10-2:0.61:10,171,174,3,26
RFD5430:10-5:0.72:10,174,177,3,26
RFD5460:8-6:0.65:7,177,180,3,26
RFD5490:11-6:0.76:3,180,183,3,26
RFD54C0:3-8:0.91:6,183,186,3,26
RFD54F0:2-1:0.99:2,186,189,3,25
RFD5520:4-8:0.54:5,189,192,3,25
RFD5550:2-5:0.69:6,192,195,3,25
RFD5580:2-11:0.75:6,195,198,3,25
RFD55B0:7-8:0.73:2,198,201,3,25
RFD55E0:0-4:0.5:4,201,204,3,25
RFD5610:0-10:0.62:1,204,207,3,25
RFD5640:9-7:0.76:5,207,208,1,25
RFD5670:5-2:0.89:7,208,211,3,25
RFD56A0:4-1:0.91:1,211,214,3,25
RFD56D0:3-0:0.67:10,214,217,3,25
RFD5700:7-10:0.51:9,217,220,3,25
RFD5730:11-1:0.79:9,220,223,3,25
RFD5760:1-9:0.53:6,223,226,3,25
RFD5790:3-2:0.99:6,226,229,3,25
RFD57C0:9-7:0.81:5,229,230,1,25
RFD57F0:11-7:1.0:6,230,233,3,25
RFD5820:1-10:0.53:7,233,236,3,25
RFD5850:11-1:0.9:1,236,239,3,25
RFD5880:8-1:0.91:10,239,242,3,26
RFD58B0:7-0:0.67:4,242,245,3,26
RFD58E0:6-1:0.63:5,245,248,3,26
RFD5910:3-8:0.82:5,248,249,1,26
RFD5940:4-5:0.84:4,249,252,3,26
RFD5970:9-2:0.94:6,252,255,3,26
RFD59A0:9-2:0.85:9,255,258,3,26
RFD59D0:2-9:0.6:1,258,261,3,26
RFD5A00:0-3:0.82:9,261,264,3,26
RFD5A30:1-8:0.63:8,264,267,3,26
RFD5A60:9-1:0.87:2,267,270,3,26
RFD5A90:0-10:0.77:6,270,273,3,26
RFD5AC0:3-7:0.77:2,273,276,3,26
RFD5AF0:8-10:0.72:3,276,279,3,26
RFD5B20:7-6:0.53:3,279,282,3,26
