id,start_time,end_time,latency,num_rules
RFBF800:1-10:0.77:5,0,1,1,144
RB7EB70:4-5:0.62:6,1,2,1,144
R3670B0:11-0:0.77:4,2,3,1,144
R365A90:10-4:0.78:6,3,4,1,144
R3664B0:8-10:0.8:2,4,5,1,144
R3741A0:0-1:0.99:1,5,5,0,144
R3745F0:9-6:0.73:8,6,7,1,144
R374B60:11-1:0.53:7,7,7,0,144
R3740B0:1-9:0.75:9,8,9,1,144
R376270:8-3:0.51:5,9,9,0,144
R375DF0:0-2:0.81:10,10,11,1,144
RED75C0:2-10:0.89:3,11,12,1,144
R374BF0:8-6:0.76:5,12,13,1,144
RFD4950:3-9:0.84:4,13,14,1,144
RFD4980:8-9:0.93:2,14,14,0,144
RFD49B0:3-10:0.79:4,15,16,1,144
RFD4AA0:10-1:0.8:8,16,17,1,144
RFD49E0:8-3:0.94:3,17,17,0,144
RFD4A10:5-6:0.56:4,18,18,0,144
RFD4A40:0-2:0.94:1,19,19,0,144
RFD4A70:2-9:0.86:6,20,21,1,144
RFD4D40:8-3:0.75:5,21,22,1,144
RFD4CE0:5-2:0.86:8,22,23,1,144
RFD4C20:1-4:0.52:3,23,23,0,144
RFD4EC0:6-10:0.89:1,24,25,1,144
RFD4C80:9-7:0.56:7,25,25,0,144
RFD4D70:2-11:0.78:6,26,27,1,144
RFD4DA0:6-1:0.66:2,27,28,1,144
RFD4DD0:11-6:0.77:1,28,29,1,144
RFD4E00:9-4:0.57:3,29,29,0,144
RFD4BF0:1-10:0.6:8,30,31,1,144
RFD4E30:10-5:0.93:4,31,31,0,144
RFD4C50:10-6:0.5:3,32,32,0,144
RFD4E90:10-11:0.61:2,33,34,1,144
RFD4EF0:8-6:0.54:2,34,34,0,144
RFD4F20:8-3:0.67:9,35,36,1,144
RFD4F50:10-4:0.82:5,36,37,1,144
RFD4F80:8-0:0.54:3,37,37,0,144
RFD4FB0:4-11:0.97:9,38,38,0,144
RFD4FE0:4-1:0.58:3,39,39,0,144
RFD5010:7-1:0.96:4,40,40,0,144
RFD5040:8-9:0.89:4,41,42,1,144
RFD5070:5-0:0.53:3,42,42,0,144
RFD50A0:6-3:0.84:7,43,44,1,144
RFD50D0:2-0:0.71:5,44,45,1,144
RFD5100:2-11:0.89:5,45,46,1,144
RFD5130:5-9:0.85:6,46,47,1,144
RFD5160:5-3:0.59:6,47,47,0,144
RFD5190:4-9:0.97:9,48,48,0,144
RFD51C0:11-2:0.81:1,49,50,1,144
RFD51F0:1-10:0.62:4,50,51,1,81
RFD5220:7-8:0.6:9,51,51,0,47
RFD5250:10-5:0.65:5,52,52,0,33
RFD5280:6-10:0.83:6,53,54,1,28
RFD52B0:1-11:0.69:1,54,54,0,26
RFD52E0:10-4:0.79:6,55,56,1,26
RFD5310:6-1:0.54:9,56,56,0,26
RFD5340:5-3:0.82:5,57,57,0,26
RFD5370:9-7:0.85:8,58,58,0,26
RFD53A0:3-10:0.95:2,59,59,0,26
RFD53D0:7-3:0.6:10,60,60,0,26
RFD5400:10-2:0.61:10,61,61,0,26
RFD5430:10-5:0.72:10,62,62,0,26
RFD5460:8-6:0.65:7,63,64,1,26
RFD5490:11-6:0.76:3,64,65,1,26
RFD54C0:3-8:0.91:6,65,65,0,26
RFD54F0:2-1:0.99:2,66,66,0,26
RFD5520:4-8:0.54:5,67,67,0,26
RFD5550:2-5:0.69:6,68,68,0,26
RFD5580:2-11:0.75:6,69,70,1,26
RFD55B0:7-8:0.73:2,70,70,0,26
RFD55E0:0-4:0.5:4,71,71,0,26
RFD5610:0-10:0.62:1,72,72,0,26
RFD5640:9-7:0.76:5,73,73,0,26
RFD5670:5-2:0.89:7,74,75,1,26
RFD56A0:4-1:0.91:1,75,75,0,22
RFD56D0:3-0:0.67:10,76,76,0,17
RFD5700:7-10:0.51:9,77,77,0,12
RFD5730:11-1:0.79:9,78,78,0,9
RFD5760:1-9:0.53:6,79,79,0,8
RFD5790:3-2:0.99:6,80,80,0,7
RFD57C0:9-7:0.81:5,81,81,0,7
RFD57F0:11-7:1.0:6,82,82,0,7
RFD5820:1-10:0.53:7,83,83,0,7
RFD5850:11-1:0.9:1,84,84,0,7
RFD5880:8-1:0.91:10,85,85,0,7
RFD58B0:7-0:0.67:4,86,86,0,7
RFD58E0:6-1:0.63:5,87,87,0,7
RFD5910:3-8:0.82:5,88,88,0,7
RFD5940:4-5:0.84:4,89,89,0,7
RFD5970:9-2:0.94:6,90,90,0,7
RFD59A0:9-2:0.85:9,91,91,0,7
RFD59D0:2-9:0.6:1,92,92,0,7
RFD5A00:0-3:0.82:9,93,93,0,7
RFD5A30:1-8:0.63:8,94,94,0,7
RFD5A60:9-1:0.87:2,95,95,0,7
RFD5A90:0-10:0.77:6,96,96,0,7
RFD5AC0:3-7:0.77:2,97,97,0,7
RFD5AF0:8-10:0.72:3,98,98,0,7
RFD5B20:7-6:0.53:3,99,99,0,7
