id,start_time,end_time,latency,num_rules
R8AF710:7-4:0.69:5,0,3,3,1
RFE5AF0:3-5:0.91:1,3,6,3,2
RB332F0:5-4:0.78:4,6,9,3,3
RB33080:1-9:0.75:8,9,12,3,4
RB32D20:10-4:0.58:8,12,15,3,5
RB32D20:10-4:0.58:8,15,16,1,5
RB32D20:10-4:0.58:8,16,17,1,5
RB32D20:10-4:0.58:8,17,18,1,5
RB32D20:10-4:0.58:8,18,19,1,5
RB32D20:10-4:0.58:8,19,20,1,5
RB32D20:10-4:0.58:8,20,21,1,5
RB32D20:10-4:0.58:8,21,22,1,5
RB32D20:10-4:0.58:8,22,23,1,5
RB32D20:10-4:0.58:8,23,24,1,5
RB33230:8-2:0.57:1,24,27,3,6
RB33230:8-2:0.57:1,27,28,1,6
RB33230:8-2:0.57:1,28,29,1,6
RB33230:8-2:0.57:1,29,30,1,6
RB33230:8-2:0.57:1,30,31,1,6
RB33230:8-2:0.57:1,31,32,1,6
RB33230:8-2:0.57:1,32,33,1,6
RB33230:8-2:0.57:1,33,34,1,6
RB33230:8-2:0.57:1,34,35,1,6
RB33230:8-2:0.57:1,35,36,1,6
RB32D20:4-8:0.82:4,36,39,3,7
RB31790:5-7:0.7:1,39,42,3,8
R30A9C0:4-3:0.56:2,42,45,3,9
R30A9C0:4-3:0.56:2,45,46,1,9
R30A9C0:4-3:0.56:2,46,47,1,9
R30A9C0:4-3:0.56:2,47,48,1,9
R30A9C0:4-3:0.56:2,48,49,1,9
R30A9C0:4-3:0.56:2,49,50,1,9
R30A9C0:4-3:0.56:2,50,51,1,9
R30A9C0:4-3:0.56:2,51,52,1,9
R30A9C0:4-3:0.56:2,52,53,1,9
R30A9C0:4-3:0.56:2,53,54,1,9
RB33230:3-4:0.78:6,54,57,3,10
R30ADB0:5-8:0.67:2,57,60,3,11
R30ADB0:5-8:0.67:2,60,61,1,11
R30ADB0:5-8:0.67:2,61,62,1,11
R30ADB0:5-8:0.67:2,62,63,1,11
R30ADB0:5-8:0.67:2,63,64,1,11
R30ADB0:5-8:0.67:2,64,65,1,11
R30ADB0:5-8:0.67:2,65,66,1,11
R30ADB0:5-8:0.67:2,66,67,1,11
R30ADB0:5-8:0.67:2,67,68,1,11
R30ADB0:5-8:0.67:2,68,69,1,11
R30A9C0:5-3:0.85:3,69,72,3,12
R30A9C0:5-3:0.85:3,72,73,1,12
R30A9C0:5-3:0.85:3,73,74,1,12
R30A9C0:5-3:0.85:3,74,75,1,12
R30A9C0:5-3:0.85:3,75,76,1,12
R30A9C0:5-3:0.85:3,76,77,1,12
R30A9C0:5-3:0.85:3,77,78,1,11
R30A9C0:5-3:0.85:3,78,79,1,11
R30A9C0:5-3:0.85:3,79,80,1,11
R30A9C0:5-3:0.85:3,80,81,1,11
R30ADB0:0-5:0.71:2,81,84,3,11
R30ADB0:0-5:0.71:2,84,85,1,10
R30ADB0:0-5:0.71:2,85,86,1,10
R30ADB0:0-5:0.71:2,86,87,1,10
R30ADB0:0-5:0.71:2,87,88,1,9
R30ADB0:0-5:0.71:2,88,89,1,9
R30ADB0:0-5:0.71:2,89,90,1,9
R30ADB0:0-5:0.71:2,90,91,1,8
R30ADB0:0-5:0.71:2,91,92,1,8
R30ADB0:0-5:0.71:2,92,93,1,8
R30A9C0:11-8:0.5:2,93,96,3,9
R30A9C0:11-8:0.5:2,96,97,1,9
R30A9C0:11-8:0.5:2,97,98,1,9
R30A9C0:11-8:0.5:2,98,99,1,9
R30A9C0:11-8:0.5:2,99,100,1,9
R30A9C0:11-8:0.5:2,100,101,1,9
R30A9C0:11-8:0.5:2,101,102,1,9
R30A9C0:11-8:0.5:2,102,103,1,8
R30A9C0:11-8:0.5:2,103,104,1,8
R30A9C0:11-8:0.5:2,104,105,1,8
R30ADB0:2-0:0.92:5,105,108,3,9
R30BCE0:9-7:0.56:7,108,111,3,10
R30BD10:5-6:0.86:1,111,114,3,11
R30BD40:2-10:0.66:10,114,117,3,11
R30BD70:3-1:0.75:9,117,120,3,11
R30BD70:3-1:0.75:9,120,121,1,10
R30BD70:3-1:0.75:9,121,122,1,10
R30BD70:3-1:0.75:9,122,123,1,10
R30BD70:3-1:0.75:9,123,124,1,10
R30BD70:3-1:0.75:9,124,125,1,10
R30BD70:3-1:0.75:9,125,126,1,10
R30BD70:3-1:0.75:9,126,127,1,10
R30BD70:3-1:0.75:9,127,128,1,10
R30BD70:3-1:0.75:9,128,129,1,10
R30A9C0:8-5:0.61:9,129,132,3,11
R30BDA0:4-0:0.71:4,132,135,3,11
R30BDA0:4-0:0.71:4,135,136,1,10
R30BDA0:4-0:0.71:4,136,137,1,10
R30BDA0:4-0:0.71:4,137,138,1,10
R30BDA0:4-0:0.71:4,138,139,1,10
R30BDA0:4-0:0.71:4,139,140,1,10
R30BDA0:4-0:0.71:4,140,141,1,10
R30BDA0:4-0:0.71:4,141,142,1,10
